,country_name,country_iso,region,subregion,latlng
200,Seychelles,SYC,Africa,Eastern Africa,"[-4.58333333, 55.66666666]"
201,Sierra Leone,SLE,Africa,Western Africa,"[8.5, -11.5]"
202,Singapore,SGP,Asia,South-Eastern Asia,"[1.36666666, 103.8]"
203,Sint Maarten (Dutch part),SXM,Americas,Caribbean,"[18.033333, -63.05]"
204,Slovakia,SVK,Europe,Central Europe,"[48.66666666, 19.5]"
205,Slovenia,SVN,Europe,Southern Europe,"[46.11666666, 14.81666666]"
206,Solomon Islands,SLB,Oceania,Melanesia,"[-8.0, 159.0]"
207,Somalia,SOM,Africa,Eastern Africa,"[10.0, 49.0]"
208,South Africa,ZAF,Africa,Southern Africa,"[-29.0, 24.0]"
209,South Georgia and the South Sandwich Islands,SGS,Americas,South America,"[-54.5, -37.0]"
210,Korea (Republic of),KOR,Asia,Eastern Asia,"[37.0, 127.5]"
211,Spain,ESP,Europe,Southern Europe,"[40.0, -4.0]"
212,Sri Lanka,LKA,Asia,Southern Asia,"[7.0, 81.0]"
213,Sudan,SDN,Africa,Northern Africa,"[15.0, 30.0]"
214,South Sudan,SSD,Africa,Middle Africa,"[7.0, 30.0]"
215,Suriname,SUR,Americas,South America,"[4.0, -56.0]"
216,Svalbard and Jan Mayen,SJM,Europe,Northern Europe,"[78.0, 20.0]"
217,Swaziland,SWZ,Africa,Southern Africa,"[-26.5, 31.5]"
218,Sweden,SWE,Europe,Northern Europe,"[62.0, 15.0]"
219,Switzerland,CHE,Europe,Central Europe,"[47.0, 8.0]"
220,Syrian Arab Republic,SYR,Asia,Western Asia,"[35.0, 38.0]"
221,Taiwan,TWN,Asia,Eastern Asia,"[23.5, 121.0]"
222,Tajikistan,TJK,Asia,Central Asia,"[39.0, 71.0]"
223,"Tanzania, United Republic of",TZA,Africa,Eastern Africa,"[-6.0, 35.0]"
224,Thailand,THA,Asia,South-Eastern Asia,"[15.0, 100.0]"
225,Timor-Leste,TLS,Asia,South-Eastern Asia,"[-8.83333333, 125.91666666]"
226,Togo,TGO,Africa,Western Africa,"[8.0, 1.16666666]"
227,Tokelau,TKL,Oceania,Polynesia,"[-9.0, -172.0]"
228,Tonga,TON,Oceania,Polynesia,"[-20.0, -175.0]"
229,Trinidad and Tobago,TTO,Americas,Caribbean,"[11.0, -61.0]"
230,Tunisia,TUN,Africa,Northern Africa,"[34.0, 9.0]"
231,Turkey,TUR,Asia,Western Asia,"[39.0, 35.0]"
232,Turkmenistan,TKM,Asia,Central Asia,"[40.0, 60.0]"
233,Turks and Caicos Islands,TCA,Americas,Caribbean,"[21.75, -71.58333333]"
